,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
08327,Tuttlingen,Landkreis,77.9,81.8,79.1,75.7,68.8,70.6,74.7,50.9,43.6,51.3,45.2,39.1,52.1,37.8,26.8,32.6,28.9,26.0,15.8,17.5,14.6,7.2,6.4,7.1,6.9,9.4,7.6,10.3,9.6,9.0,8.3,13.7,22.6,6.8,13.5,0.5,1.1,0.7,3.1,6.6,4.2,5.1,14.1,98.0,94.0,99.9,97.4,53.1,31.8,0.0,0.0,0.0,0.0,0.0,0.0,2597.2,973.1,157.7,83.6
08335,Konstanz,Landkreis,76.9,80.4,78.7,76.6,69.7,72.0,76.7,43.8,36.8,39.9,37.3,31.8,43.6,33.2,30.6,36.0,33.8,29.8,18.9,20.2,15.6,10.5,10.8,12.8,12.1,14.9,12.7,16.0,9.9,9.7,9.5,13.7,21.3,7.4,13.2,0.9,1.1,1.1,3.8,6.8,5.0,7.2,10.3,104.4,123.9,100.2,98.7,48.9,29.8,0.0,0.0,0.0,0.0,762.1,374.0,2737.2,1355.4,353.5,182.0
08336,Lörrach,Landkreis,75.6,79.4,77.1,74.5,66.9,69.4,74.6,39.0,33.8,34.7,33.4,31.5,43.2,34.2,36.3,40.5,40.3,36.4,22.6,22.1,18.3,10.1,11.0,13.1,12.4,15.3,12.3,15.0,8.9,7.4,7.2,9.8,17.1,5.6,10.9,0.9,1.1,1.2,4.0,7.2,4.9,6.1,10.9,102.1,107.9,101.1,99.5,39.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,2704.5,1274.2,57.8,29.1
08337,Waldshut,Landkreis,75.2,79.0,77.2,74.1,67.2,69.5,73.9,47.2,40.4,43.8,42.5,37.8,50.5,40.1,28.0,34.1,34.4,30.1,18.6,18.9,16.6,9.1,9.1,10.0,9.5,12.1,9.6,12.7,9.7,8.3,7.5,10.6,18.9,5.6,10.8,0.6,0.9,0.9,3.1,6.3,4.2,5.1,10.5,101.3,95.0,101.1,107.1,39.7,32.8,0.0,0.0,0.0,0.0,0.0,0.0,2344.4,1089.4,25.4,13.1
08415,Reutlingen,Landkreis,80.4,83.0,80.8,78.5,72.2,74.3,78.1,43.2,38.1,43.8,38.4,33.8,46.2,34.5,29.8,34.4,33.0,29.6,18.0,19.3,14.9,8.6,8.5,10.8,10.6,14.9,10.9,13.9,11.5,10.2,8.4,13.7,20.1,7.1,13.7,0.7,0.9,0.9,3.5,7.0,4.8,6.1,12.9,100.4,98.8,100.6,101.2,43.1,22.7,0.0,0.0,0.0,0.0,1.9,1.3,2770.7,1225.4,480.5,253.2
08416,Tübingen,Landkreis,82.4,85.1,83.2,80.8,76.6,78.3,82.0,36.6,32.2,37.0,33.6,29.6,40.1,30.1,31.1,33.1,33.0,29.1,19.1,20.9,15.7,15.1,17.0,18.3,18.3,20.8,16.3,19.5,10.4,9.0,7.0,11.0,16.4,5.5,11.5,1.6,1.3,1.6,4.3,7.8,6.9,10.3,8.8,107.4,129.6,101.0,104.7,51.6,33.5,0.0,0.0,0.0,0.0,1110.7,689.8,2360.4,999.8,913.1,457.4
08417,Zollernalbkreis,Landkreis,76.7,80.4,78.3,74.6,68.5,70.4,74.3,44.7,38.0,49.3,43.9,36.1,50.6,35.4,30.1,34.5,31.0,27.4,16.9,18.3,15.2,6.1,6.1,7.1,7.0,10.2,7.8,10.9,12.1,10.9,7.7,12.6,21.8,5.9,14.1,0.4,0.8,0.7,3.5,7.6,4.6,5.4,14.6,98.0,91.7,100.2,98.8,39.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,3170.4,1296.8,53.8,23.4
08421,Ulm,krsfr. Stadt,79.0,81.9,80.0,77.1,71.4,73.2,77.5,39.1,35.3,39.1,34.9,30.4,40.9,30.9,34.0,36.6,35.9,32.3,20.0,23.5,17.5,10.5,11.4,14.0,13.7,17.6,13.2,17.0,10.2,8.6,6.9,11.7,17.1,5.6,11.8,0.9,1.1,1.3,4.1,7.7,5.6,7.6,10.2,103.5,114.1,100.6,101.6,54.4,23.2,0.0,0.0,0.0,0.0,590.1,295.7,3999.2,1540.3,1981.1,791.3
08425,Alb-Donau-Kreis,Landkreis,80.5,83.5,82.3,79.3,73.4,76.0,79.8,49.7,43.0,50.7,46.1,39.0,52.9,40.5,27.3,32.0,28.8,26.5,16.6,18.3,14.9,7.4,7.5,9.3,8.8,12.6,8.7,11.8,9.0,8.3,6.8,11.1,18.6,5.0,11.4,0.5,0.7,0.6,2.8,6.1,3.5,4.5,12.5,97.8,92.9,99.6,98.3,43.5,29.6,0.0,0.0,0.0,0.0,0.0,0.0,2743.0,1019.2,32.7,14.0
08426,Biberach,Landkreis,78.6,82.0,80.4,77.6,70.7,73.4,78.1,55.7,46.6,55.4,51.4,43.5,56.4,43.0,21.4,25.1,23.8,21.9,14.0,15.0,12.8,7.8,8.4,9.1,7.7,10.6,8.9,11.2,7.0,6.6,6.6,11.0,18.8,4.9,11.1,0.4,0.6,0.6,2.6,5.6,3.3,4.6,12.6,98.1,94.9,99.9,97.2,50.8,37.8,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,901.7,95.3,49.3
08435,Bodenseekreis,Landkreis,78.2,81.4,81.1,79.0,72.6,74.8,79.2,47.0,40.2,45.6,41.2,36.2,48.2,36.8,26.6,32.7,30.4,28.1,17.0,18.5,14.3,9.7,10.0,12.0,11.5,14.1,11.8,14.8,10.1,9.3,8.2,12.4,20.2,6.5,13.4,0.7,0.8,0.8,3.3,6.4,4.4,6.2,10.3,105.7,122.2,100.2,105.1,26.1,23.5,0.0,0.0,0.0,0.0,1.4,1.0,2227.4,952.1,826.5,288.0
08436,Ravensburg,Landkreis,77.2,80.5,79.8,76.8,70.7,72.7,77.4,50.6,42.9,50.8,45.7,38.0,50.5,39.4,23.9,29.1,26.4,24.2,15.2,16.9,13.3,9.0,10.4,11.5,11.1,14.2,12.1,14.7,7.8,7.1,6.6,11.7,18.8,5.2,11.3,0.6,0.7,0.7,3.1,6.6,4.3,6.0,10.4,99.9,100.8,100.0,99.0,64.1,33.1,0.0,0.0,0.0,0.0,0.1,0.1,2288.0,955.4,67.7,33.1
08437,Sigmaringen,Landkreis,76.6,80.4,79.1,75.3,68.5,71.4,75.6,55.8,46.3,56.0,50.6,42.3,54.9,40.5,22.1,28.6,24.9,22.6,14.2,15.6,13.0,7.2,6.7,7.6,7.2,10.0,9.4,12.3,8.5,8.2,7.0,11.1,20.4,5.3,12.0,0.4,0.8,0.7,3.1,6.3,3.8,5.0,12.9,96.7,87.6,99.9,97.9,39.7,27.8,0.0,0.0,0.0,0.0,0.0,0.0,2836.6,1178.4,73.1,54.2
09161,"Ingolstadt, Stadt",krsfr. Stadt,72.0,73.2,74.4,68.8,63.1,61.5,70.9,52.2,48.5,57.2,46.2,44.8,50.4,36.8,30.7,35.6,28.5,29.7,16.8,19.4,14.3,5.1,5.0,7.1,7.1,9.6,7.7,8.7,5.1,4.2,4.2,8.7,12.9,5.5,10.9,0.6,0.9,0.8,3.8,7.5,4.8,6.9,15.3,100.2,110.3,96.0,101.5,54.0,21.4,0.0,0.0,0.0,0.0,96.7,93.0,3509.4,1586.5,259.6,153.8
09162,"München, Stadt",krsfr. Stadt,74.3,77.4,79.9,76.3,72.9,70.9,78.2,41.7,38.9,44.6,37.5,32.1,37.8,30.0,32.7,36.2,29.7,29.0,19.3,23.9,16.2,10.1,11.2,16.1,14.6,17.5,14.1,17.2,9.1,7.2,6.2,12.3,17.6,7.7,14.2,1.2,1.3,1.3,3.9,6.7,4.6,8.3,8.4,114.9,162.3,101.4,112.5,8.0,5.1,0.0,0.0,0.0,0.0,610.1,347.0,3530.7,1613.2,1039.4,444.5
09163,"Rosenheim, Stadt",krsfr. Stadt,70.3,72.7,75.4,71.3,64.6,64.4,73.7,51.7,45.9,58.8,48.3,41.4,48.3,35.5,24.6,32.1,23.8,25.4,15.6,17.8,13.6,7.1,6.4,8.2,8.4,12.4,9.3,11.4,6.7,5.3,4.9,9.1,14.3,5.1,11.0,0.5,0.6,0.7,3.3,5.6,3.9,6.3,14.7,107.2,127.2,100.1,107.7,126.8,38.8,0.0,0.0,0.0,0.0,0.0,0.0,4230.6,1887.7,194.8,131.6
09171,Altötting,Landkreis,75.5,77.0,79.9,74.5,67.0,66.1,74.3,59.1,56.0,69.0,57.3,51.2,57.9,44.5,24.0,28.6,19.4,21.3,14.7,16.4,13.4,4.4,3.9,4.7,5.6,7.9,5.7,6.8,5.1,4.1,3.5,8.3,12.3,3.9,8.4,0.4,0.4,0.5,2.6,5.2,3.1,5.9,13.6,95.8,84.1,100.2,97.0,53.6,23.5,0.0,0.0,0.0,0.0,0.0,0.0,2608.7,1203.3,168.5,52.4
09172,Berchtesgadener Land,Landkreis,74.7,76.9,80.2,75.8,67.4,66.4,75.3,58.9,56.3,68.0,58.6,50.7,58.2,45.1,22.0,26.3,18.6,19.2,12.3,14.6,11.5,6.4,5.5,6.5,6.6,10.6,8.3,8.3,5.9,4.5,3.6,8.2,13.2,4.3,9.1,0.3,0.5,0.6,2.8,4.9,2.9,5.2,13.1,99.0,95.6,100.7,98.4,37.1,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2537.0,1192.6,26.5,13.4
09173,Bad Tölz-Wolfratshausen,Landkreis,77.5,78.6,83.6,79.1,72.4,71.1,79.3,59.5,55.4,67.7,55.9,46.7,53.4,41.2,19.6,25.4,17.5,17.9,12.0,14.4,11.0,6.9,6.4,8.0,8.8,11.2,8.3,10.5,7.3,6.0,4.3,11.3,17.1,5.5,11.7,0.4,0.5,0.6,2.4,4.6,2.8,5.4,11.9,103.6,121.2,100.0,97.8,18.7,13.7,0.0,0.0,0.0,0.0,0.0,0.0,2365.2,1058.3,22.4,7.8
09174,Dachau,Landkreis,78.1,80.1,83.0,80.2,74.5,73.8,81.1,56.4,52.4,62.3,53.7,45.9,53.8,42.0,23.8,29.5,22.1,21.5,14.7,16.8,13.1,5.8,5.9,8.0,8.4,10.6,7.3,9.6,6.2,5.0,4.6,10.2,15.5,4.5,10.6,0.4,0.6,0.6,2.7,4.6,2.9,4.7,12.3,104.1,127.2,99.3,97.6,5.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.2,1107.4,29.1,9.8
09175,Ebersberg,Landkreis,80.8,82.4,86.0,82.8,77.1,76.5,83.7,52.5,48.6,58.3,50.3,42.4,50.0,38.4,24.6,30.2,23.3,22.4,14.9,18.2,12.8,7.7,7.3,10.3,10.3,13.1,9.6,12.4,9.0,7.1,5.5,11.6,16.9,5.8,13.2,0.6,0.7,0.7,2.5,4.2,2.8,5.3,10.3,107.3,143.0,99.5,99.3,15.7,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,1030.8,145.7,35.9
09176,Eichstätt,Landkreis,80.8,82.5,84.7,80.1,74.6,73.9,81.7,58.2,53.1,63.9,54.2,51.4,57.7,44.4,27.6,33.7,25.2,26.5,15.7,17.2,13.2,4.6,4.4,5.1,5.4,7.8,5.7,6.6,3.9,3.1,3.1,6.8,11.2,3.6,8.4,0.3,0.5,0.5,2.7,5.3,2.9,4.5,14.7,94.2,78.4,100.0,96.6,24.1,15.5,0.0,0.0,0.0,0.0,12.8,8.7,1494.0,610.0,65.5,39.6
09177,Erding,Landkreis,75.4,77.9,82.3,78.8,72.6,71.9,80.4,57.7,51.9,65.5,55.0,45.5,52.2,39.8,22.0,28.6,19.8,20.3,12.4,14.9,11.7,5.2,5.2,6.9,7.4,12.0,8.0,9.3,5.6,4.8,4.2,9.4,14.7,4.4,10.7,0.5,0.7,0.7,2.9,4.8,3.0,5.0,13.5,102.1,122.6,97.9,95.8,14.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.1,963.6,37.7,8.4
09178,Freising,Landkreis,76.2,78.7,83.2,79.6,73.2,72.5,80.2,54.0,50.8,61.9,51.2,42.0,47.9,36.8,23.6,29.0,21.3,21.3,13.2,16.2,12.3,8.5,7.2,8.9,9.5,14.8,11.5,12.1,6.5,5.6,5.0,10.9,15.1,4.7,11.0,0.6,0.7,0.7,3.1,5.4,3.4,5.8,12.3,104.7,135.5,97.8,97.8,17.6,12.1,0.0,0.0,0.0,0.0,122.7,58.7,2536.4,1112.3,511.6,261.7
09179,Fürstenfeldbruck,Landkreis,80.0,81.7,84.8,81.9,76.6,75.1,82.1,49.4,46.2,55.4,47.2,40.6,48.2,37.8,27.6,32.7,24.9,24.4,16.4,19.6,14.6,7.9,8.0,11.5,11.2,13.7,9.9,12.1,8.7,6.7,5.4,11.3,16.4,5.4,12.4,0.6,0.7,0.7,2.8,4.8,3.2,5.4,10.9,100.1,131.9,93.4,92.3,16.2,10.2,0.0,0.0,0.0,0.0,0.1,0.1,2252.5,1107.8,42.8,13.9
09180,Garmisch-Partenkirchen,Landkreis,76.6,78.9,82.4,78.1,71.4,70.4,79.3,63.8,60.2,71.4,60.2,51.6,56.5,45.7,15.4,20.5,15.5,15.7,10.2,12.3,9.3,5.3,4.9,5.6,6.6,8.7,7.1,8.8,8.2,6.7,4.6,11.6,17.1,6.1,11.3,0.3,0.4,0.5,2.3,3.8,2.6,4.7,12.6,101.2,123.4,97.6,92.7,48.7,37.7,0.0,0.0,0.0,0.0,12.3,6.4,2938.3,1317.6,137.7,55.8
09181,Landsberg am Lech,Landkreis,76.2,79.2,83.5,80.2,74.2,73.9,81.4,54.6,52.0,61.1,51.2,43.7,51.9,39.8,23.5,27.3,21.3,20.8,13.0,15.9,12.2,7.6,7.7,9.6,10.2,13.2,10.5,12.4,7.1,5.8,5.0,11.2,16.2,5.1,11.4,0.4,0.6,0.6,2.6,4.8,3.2,5.7,10.9,101.7,112.5,99.8,97.4,36.2,27.4,0.0,0.0,0.0,0.0,0.0,0.0,2374.2,1051.2,41.4,25.4
09182,Miesbach,Landkreis,77.5,79.7,83.6,79.5,73.1,72.9,80.0,58.0,54.4,66.5,54.8,48.1,54.5,42.0,21.0,26.3,19.1,19.2,12.2,14.3,10.9,5.6,5.2,7.1,7.6,10.2,7.6,10.1,8.3,6.6,4.9,12.8,17.6,6.3,13.3,0.3,0.5,0.5,2.4,3.9,2.5,4.3,11.4,103.2,118.8,99.9,98.6,12.0,10.8,0.0,0.0,0.0,0.0,32.2,0.0,2426.8,1057.3,176.3,86.2
09183,Mühldorf a.Inn,Landkreis,73.1,74.8,79.5,73.9,66.5,66.5,75.4,60.5,56.1,70.2,59.3,52.6,59.4,43.6,21.4,27.3,18.1,18.9,11.9,13.9,11.3,4.3,4.0,5.1,5.6,8.1,5.8,6.9,5.2,4.3,3.6,8.5,12.8,4.0,9.4,0.3,0.5,0.5,2.8,5.0,2.8,4.7,15.5,95.5,82.0,100.1,97.9,58.9,32.3,0.0,0.0,0.0,0.0,0.0,0.0,2770.4,1289.6,28.2,12.2
09184,München,Landkreis,81.2,83.1,85.8,82.8,78.6,76.9,83.5,47.3,45.6,54.1,45.3,39.8,47.0,37.3,27.0,31.8,25.1,24.1,16.7,19.8,14.0,8.2,7.9,11.2,10.6,12.7,9.8,12.6,11.8,9.1,7.0,14.6,19.6,8.3,15.3,0.7,0.8,0.7,2.6,4.5,2.8,5.1,9.4,107.4,143.0,100.0,98.7,4.5,4.1,0.0,0.0,0.0,0.0,397.2,89.1,1895.2,877.9,2579.1,1177.6
09185,Neuburg-Schrobenhausen,Landkreis,74.0,77.1,80.4,76.6,69.5,68.4,77.3,59.5,55.1,67.3,57.8,52.6,59.7,44.9,25.3,31.3,22.4,22.1,13.2,14.7,12.1,4.4,3.8,4.4,4.8,7.2,5.3,6.2,4.6,3.5,3.6,7.8,13.5,3.8,9.0,0.2,0.5,0.5,3.0,5.7,3.0,4.4,15.1,96.2,93.1,97.0,97.0,68.6,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.7,1002.5,36.1,22.7
09186,Pfaffenhofen a.d.Ilm,Landkreis,75.0,77.9,81.7,77.6,71.0,69.8,77.2,57.5,52.4,64.3,53.1,48.3,55.0,42.1,25.6,32.1,22.9,23.7,13.7,16.5,12.7,4.8,4.4,5.9,6.4,9.1,6.4,7.3,5.0,4.3,4.2,9.3,14.1,4.7,9.8,0.5,0.7,0.6,3.2,5.6,3.0,4.5,15.2,102.1,114.6,99.2,98.6,32.4,20.2,0.0,0.0,0.0,0.0,0.0,0.0,2055.5,926.5,110.4,54.5
09187,Rosenheim,Landkreis,76.1,78.6,82.7,78.5,72.2,71.3,80.0,57.7,53.0,65.9,56.1,47.7,55.3,41.5,20.0,25.9,18.8,19.7,12.1,14.2,10.9,6.3,6.0,7.5,7.7,11.2,8.2,9.7,7.0,5.6,4.4,9.4,14.5,4.9,10.9,0.4,0.5,0.5,2.3,4.2,2.7,4.9,13.7,102.4,114.0,100.3,97.9,30.6,21.9,0.0,0.0,0.0,0.0,0.0,0.0,2265.4,1007.2,102.0,27.0
09188,Starnberg,Landkreis,81.9,83.8,86.8,83.8,79.6,77.8,84.1,49.2,47.9,56.1,46.9,39.2,46.6,37.4,22.5,26.4,21.4,20.3,14.1,16.6,12.0,9.0,9.2,12.7,12.5,14.7,11.2,14.1,14.1,10.8,7.5,15.8,22.1,10.4,17.1,0.6,0.7,0.6,2.1,3.7,2.6,5.2,8.8,109.7,153.8,99.9,101.2,10.6,9.9,0.0,0.0,0.0,0.0,12.7,4.9,1828.2,968.5,958.4,308.4
09189,Traunstein,Landkreis,75.6,77.3,81.6,77.4,69.6,68.7,77.3,56.6,53.5,66.7,56.9,47.7,56.8,44.4,23.1,28.3,19.3,20.1,12.7,15.0,12.1,6.3,6.1,7.2,7.4,12.1,9.1,9.7,5.8,4.5,3.7,8.3,12.8,4.4,9.2,0.4,0.4,0.5,2.8,5.1,3.0,5.4,11.4,99.5,99.8,100.1,98.0,40.2,29.3,0.0,0.0,0.0,0.0,0.0,0.0,2383.1,987.3,30.4,13.7
09190,Weilheim-Schongau,Landkreis,77.2,79.6,83.4,79.3,73.2,72.2,80.3,55.2,49.2,62.1,51.6,43.4,50.4,41.1,25.1,31.4,22.9,22.6,14.6,17.2,13.0,6.3,5.9,7.7,8.3,11.7,8.3,10.0,5.9,5.0,4.3,9.7,14.8,4.6,9.9,0.4,0.5,0.6,3.4,5.7,3.3,5.8,11.7,98.5,96.5,99.3,98.6,49.1,31.3,0.0,0.0,0.0,0.0,0.4,0.2,2340.1,1013.8,139.1,81.8
09261,"Landshut, Stadt",krsfr. Stadt,73.0,74.5,77.2,73.0,66.0,65.1,74.3,52.5,49.7,61.2,51.1,44.3,49.3,35.1,27.8,32.1,23.5,23.8,14.8,18.4,13.7,7.0,6.9,7.6,8.5,12.0,9.5,10.7,6.2,4.9,4.5,9.4,15.0,5.5,12.8,0.6,0.8,0.8,3.5,6.2,4.1,6.4,13.0,102.9,100.1,99.6,113.2,56.3,27.8,0.0,0.0,0.0,0.0,3.6,3.6,3775.7,1675.8,128.4,100.2
09262,"Passau, Stadt",krsfr. Stadt,72.3,74.1,74.9,70.5,64.9,63.6,73.3,50.9,47.2,60.2,48.5,40.2,47.9,36.3,28.4,33.4,24.7,25.3,17.1,20.4,15.6,6.0,5.9,7.0,7.9,10.4,8.8,10.9,9.1,6.4,5.3,11.0,16.4,5.9,11.0,0.5,0.5,0.6,3.8,7.8,4.9,7.8,12.7,96.4,84.9,99.6,99.7,44.2,19.8,24.8,3.1,0.0,0.0,43.8,30.8,4305.4,1770.9,270.9,169.3
09263,"Straubing, Stadt",krsfr. Stadt,67.2,70.1,73.0,68.0,59.5,57.4,67.4,56.9,54.5,67.4,56.5,48.3,54.4,38.7,27.4,31.3,22.3,23.4,15.1,18.0,14.6,3.2,3.0,3.7,4.1,6.4,4.9,6.4,5.2,3.6,3.2,7.7,14.2,4.7,9.5,0.5,0.5,0.4,3.7,7.2,4.4,6.1,17.2,94.8,78.5,99.1,101.0,42.6,29.6,0.0,0.0,0.0,0.0,102.7,8.0,4592.9,2089.1,210.7,107.3
09271,Deggendorf,Landkreis,69.0,72.0,76.9,70.8,61.6,60.3,70.9,58.2,53.3,70.3,57.9,46.4,56.1,40.8,26.1,32.2,19.5,20.7,14.5,16.5,13.4,3.7,3.2,3.7,3.9,7.0,4.6,5.0,4.5,3.5,3.2,7.7,14.6,4.0,7.9,0.3,0.3,0.4,3.4,7.4,3.2,5.2,18.4,95.1,80.9,99.2,99.4,52.4,28.9,0.0,0.0,0.0,0.0,8.2,0.0,3163.3,1286.6,117.7,75.8
09272,Freyung-Grafenau,Landkreis,66.8,71.7,76.0,68.9,59.3,59.9,71.9,57.1,49.4,71.8,57.3,46.5,56.6,40.5,29.9,37.1,19.3,20.2,14.5,16.7,15.1,3.0,2.8,3.0,3.5,5.9,4.0,4.1,3.5,3.2,2.9,8.1,14.1,3.5,7.1,0.2,0.3,0.3,4.3,8.9,3.5,4.7,20.1,91.9,70.7,99.4,96.8,84.0,65.8,417.0,249.2,0.0,0.0,0.4,0.4,3300.7,1381.0,22.1,15.9
09273,Kelheim,Landkreis,73.5,75.4,80.0,75.0,67.7,66.9,75.6,54.7,52.1,66.3,53.5,48.6,55.0,41.9,29.8,33.5,22.5,24.1,16.0,17.0,14.5,4.1,4.2,5.5,5.6,7.7,5.8,6.2,4.6,3.9,3.2,9.0,13.5,4.2,8.3,0.4,0.5,0.4,3.1,5.6,2.9,4.5,14.9,97.1,91.4,99.4,97.3,116.4,65.2,0.0,0.0,0.0,0.0,0.6,0.0,2570.8,1172.5,32.1,13.7
09274,Landshut,Landkreis,74.4,77.2,82.7,78.0,70.5,69.7,78.7,56.2,54.0,70.2,58.5,50.4,55.2,39.4,24.8,30.0,18.4,19.0,12.2,14.2,11.7,5.1,4.5,4.9,5.3,8.5,6.3,6.5,5.6,4.4,3.6,9.3,14.3,4.7,10.3,0.4,0.5,0.5,2.8,5.5,2.7,4.4,15.1,98.9,97.9,99.8,97.7,18.9,12.1,0.0,0.0,0.0,0.0,0.0,0.0,2278.3,1008.2,18.1,13.0
09275,Passau,Landkreis,70.7,73.3,77.5,71.0,62.4,62.2,73.5,56.0,49.6,69.4,56.5,46.0,55.5,41.5,28.8,35.1,20.9,22.3,14.7,18.1,15.0,3.6,3.3,3.5,4.2,7.0,5.2,5.2,4.8,4.1,3.5,8.8,15.3,4.1,8.5,0.2,0.3,0.4,3.4,7.9,3.5,5.0,17.2,93.9,77.1,99.9,97.0,66.0,43.2,186.3,60.1,0.0,0.0,0.0,0.0,3255.9,1339.6,41.5,15.3
09276,Regen,Landkreis,67.9,72.0,76.3,69.9,59.6,60.1,71.9,56.7,51.9,71.6,56.8,46.4,55.9,40.5,29.0,35.0,20.6,22.6,17.3,18.5,15.4,3.4,2.9,2.7,3.3,5.5,4.0,3.9,3.4,3.1,2.5,7.3,13.3,3.8,6.9,0.2,0.3,0.3,3.9,7.7,3.1,4.5,20.7,92.1,68.8,99.8,99.0,57.7,41.7,755.8,309.6,0.0,0.0,0.0,0.0,3358.8,1482.7,19.2,11.2
09277,Rottal-Inn,Landkreis,69.8,72.1,78.4,72.5,63.1,63.7,73.4,60.6,56.8,73.7,61.3,50.0,59.9,44.0,23.1,28.5,16.7,18.8,13.1,14.4,12.5,3.5,3.6,3.7,4.5,7.4,5.3,5.5,4.6,4.0,3.2,7.6,14.2,4.0,9.2,0.3,0.4,0.3,2.5,5.5,2.7,4.5,15.3,92.8,73.6,99.6,96.8,50.8,15.9,34.5,0.7,0.0,0.0,0.0,0.0,2550.9,1271.6,15.4,12.1
09278,Straubing-Bogen,Landkreis,75.0,77.6,82.8,77.5,70.5,69.3,77.9,60.5,58.1,75.0,62.8,53.5,60.4,44.1,23.1,27.5,16.3,18.0,11.6,13.7,12.0,2.5,2.4,2.8,3.0,4.8,3.5,4.3,5.1,3.9,2.8,7.3,13.8,4.3,8.3,0.2,0.3,0.3,2.9,5.4,2.4,3.6,17.1,90.4,65.2,99.2,97.3,28.2,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2515.3,1117.3,16.2,9.6
09279,Dingolfing-Landau,Landkreis,71.7,74.2,78.8,73.4,64.5,62.2,72.5,58.2,55.2,71.7,59.4,50.1,57.2,41.0,26.7,30.6,19.3,21.2,14.5,16.2,13.3,3.5,3.3,3.2,3.6,5.6,4.3,4.8,3.9,3.6,2.8,7.1,13.5,4.2,9.0,0.3,0.4,0.4,2.6,5.7,2.6,4.5,18.3,96.8,97.3,96.2,97.7,103.2,68.3,0.0,0.0,0.0,0.0,0.0,0.0,2619.6,1072.3,21.3,11.2
09361,"Amberg, Stadt",krsfr. Stadt,73.6,74.4,75.2,70.4,63.7,60.7,70.1,47.3,45.8,57.1,45.5,39.6,47.8,36.0,36.3,40.5,30.4,30.4,19.3,23.3,17.6,5.3,4.4,5.7,6.4,9.0,6.6,7.9,5.4,3.8,4.0,8.2,13.5,4.5,8.7,0.5,0.5,0.6,4.4,8.7,4.8,7.6,14.9,96.9,96.2,97.0,97.5,95.4,55.2,13.6,3.1,0.0,0.0,0.0,0.0,5308.7,2283.2,88.7,74.7
09362,"Regensburg, Stadt",krsfr. Stadt,73.6,75.0,76.9,72.1,67.2,66.0,76.0,51.1,47.7,54.4,43.3,37.8,42.5,33.2,29.8,33.6,26.6,27.5,17.9,20.9,14.9,7.6,8.4,11.9,12.0,14.7,13.2,14.6,5.4,4.2,3.9,9.5,13.5,5.3,10.1,1.0,0.9,1.0,4.0,7.6,5.0,9.4,10.8,104.3,117.0,100.1,103.6,45.2,37.5,0.0,0.0,0.0,0.0,419.8,193.5,4026.8,1732.3,1203.6,616.9
09363,"Weiden i.d.OPf., Stadt",krsfr. Stadt,74.1,76.2,77.1,70.9,65.0,61.8,69.8,48.5,44.5,56.4,45.7,39.3,47.2,37.3,38.2,43.6,32.6,32.9,22.5,26.1,20.2,3.7,3.7,5.0,5.5,8.1,5.3,6.5,4.6,3.3,3.3,7.0,12.1,4.0,8.2,0.6,1.0,0.6,4.5,9.0,5.0,6.7,14.6,94.8,74.6,99.7,103.8,31.5,6.0,85.3,31.9,0.0,0.0,0.0,0.0,4551.9,2057.6,88.9,44.8
09371,Amberg-Sulzbach,Landkreis,78.1,80.1,81.7,77.0,71.1,70.2,78.5,48.9,45.7,59.2,48.5,42.0,51.0,41.0,37.2,42.1,30.3,30.2,20.1,22.8,18.2,4.2,3.3,4.2,5.0,7.7,5.4,6.1,4.1,3.4,3.6,7.0,12.3,3.6,7.1,0.3,0.6,0.5,3.8,7.9,3.5,5.2,13.0,92.1,70.3,100.5,95.9,66.7,37.3,5.9,1.8,0.0,0.0,0.1,0.0,2988.5,1254.3,57.2,45.0
