Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
03455,Friesland,Landkreis,61358.0000,61022.0000,60755.0000,60418.0000,60725.0000,60718.0000,60468.0000,97857.0000,97327.0000,97093.0000,96937.0000,97900.0000,98409.0000,98509.0000,47761.0000,48204.0000,48452.0000,48830.0000,49093.0000,31206.0000,31719.0000,32663.0000,33230.0000,33833.0000,607.9000
03456,Grafschaft Bentheim,Landkreis,87044.0000,87564.0000,87565.0000,87962.0000,88640.0000,88405.0000,88113.0000,133400.0000,133652.0000,133678.0000,134329.0000,135662.0000,135770.0000,135859.0000,68388.0000,69696.0000,70933.0000,71831.0000,72730.0000,42845.0000,44401.0000,45856.0000,46974.0000,48339.0000,980.8300
03457,Leer,Landkreis,106732.0000,107225.0000,107770.0000,108220.0000,109450.0000,109548.0000,109664.0000,163991.0000,164202.0000,164792.0000,165809.0000,167548.0000,168253.0000,168946.0000,80897.0000,82046.0000,82846.0000,83431.0000,84333.0000,50376.0000,52213.0000,53566.0000,55065.0000,56789.0000,1086.0000
03458,Oldenburg,Landkreis,82106.0000,82254.0000,82630.0000,83258.0000,84436.0000,84604.0000,84580.0000,125265.0000,125413.0000,125778.0000,126798.0000,128608.0000,129484.0000,129924.0000,65181.0000,66653.0000,67646.0000,68607.0000,69786.0000,44596.0000,45542.0000,47228.0000,48789.0000,50445.0000,1063.1200
03459,Osnabrück,Landkreis,229148.0000,229883.0000,230167.0000,230507.0000,235057.0000,231641.0000,231651.0000,350418.0000,350444.0000,350302.0000,351316.0000,358079.0000,354807.0000,356140.0000,190315.0000,191575.0000,194400.0000,195393.0000,196924.0000,129824.0000,132860.0000,135766.0000,138268.0000,141233.0000,2121.6100
03460,Vechta,Landkreis,89841.0000,90847.0000,91575.0000,93179.0000,94282.0000,95366.0000,95517.0000,132752.0000,133462.0000,134188.0000,136184.0000,137866.0000,139671.0000,140540.0000,75447.0000,77455.0000,78872.0000,81284.0000,82510.0000,52160.0000,53636.0000,55107.0000,56702.0000,58552.0000,812.6400
03461,Wesermarsch,Landkreis,57395.0000,57375.0000,57340.0000,57198.0000,57420.0000,57206.0000,56839.0000,89527.0000,89126.0000,88831.0000,88765.0000,89239.0000,89282.0000,89022.0000,45450.0000,45445.0000,45921.0000,46319.0000,46547.0000,29963.0000,30737.0000,31260.0000,31601.0000,32344.0000,821.9000
03462,Wittmund,Landkreis,36171.0000,35969.0000,36005.0000,35907.0000,36139.0000,35786.0000,35527.0000,56572.0000,56362.0000,56400.0000,56539.0000,57173.0000,56881.0000,56731.0000,26821.0000,27092.0000,27629.0000,27961.0000,28191.0000,17562.0000,17990.0000,18573.0000,18999.0000,19592.0000,656.6300
04011,"Bremen, Stadt",krsfr. Stadt,361414.0000,363514.0000,364921.0000,366204.0000,369128.0000,373996.0000,374418.0000,544043.0000,546451.0000,548547.0000,551767.0000,557464.0000,565719.0000,568006.0000,267489.0000,272336.0000,277673.0000,282668.0000,284221.0000,174776.0000,177991.0000,181450.0000,185707.0000,189924.0000,325.5600
04012,"Bremerhaven, Stadt",krsfr. Stadt,69658.0000,69752.0000,70246.0000,71007.0000,73462.0000,72431.0000,72074.0000,108139.0000,108323.0000,108844.0000,110121.0000,114025.0000,113034.0000,113026.0000,55029.0000,55820.0000,56979.0000,57792.0000,57936.0000,33334.0000,34721.0000,35687.0000,36309.0000,36955.0000,93.8200
