KRS_15,AMR_12,AMR_20,ROR11,Bundesland_ID,AMR_15,Bund,Ost_West,ROR11_Name,KRS_15_Name,AMR_12_Name,Bundesland_ID_Name,AMR_20_Name,AMR_15_Name
07315,111,091,0702,07,111,1,1,Rheinhessen-Nahe,"Mainz, kreisfreie Stadt",Mainz,Rheinland-Pfalz,Zweibrücken,Mainz
07316,114,090,0703,07,114,1,1,Rheinpfalz,"Neustadt an der Weinstraße, Stadt",Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
07317,113,092,0705,07,113,1,1,Westpfalz,"Pirmasens, Stadt",Pirmasens,Rheinland-Pfalz,Alzey-Worms,Pirmasens
07318,114,090,0703,07,114,1,1,Rheinpfalz,"Speyer, Stadt",Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
07319,112,093,0702,07,112,1,1,Rheinhessen-Nahe,"Worms, Stadt",Alzey-Worms,Rheinland-Pfalz,Donnersbergkreis,Alzey-Worms
07320,113,094,0705,07,113,1,1,Westpfalz,"Zweibrücken, Stadt",Pirmasens,Rheinland-Pfalz,Stuttgart,Pirmasens
07331,112,091,0702,07,112,1,1,Rheinhessen-Nahe,Alzey-Worms,Alzey-Worms,Rheinland-Pfalz,Zweibrücken,Alzey-Worms
07332,114,090,0703,07,114,1,1,Rheinpfalz,Bad Dürkheim,Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
07333,109,095,0705,07,109,1,1,Westpfalz,Donnersbergkreis,Kaiserslautern,Rheinland-Pfalz,Göppingen,Kaiserslautern
07334,115,096,0703,07,115,1,1,Rheinpfalz,Germersheim,Germersheim,Rheinland-Pfalz,Heilbronn,Germersheim
07335,109,089,0705,07,109,1,1,Westpfalz,Kaiserslautern,Kaiserslautern,Rheinland-Pfalz,Pirmasens,Kaiserslautern
07336,109,089,0705,07,109,1,1,Westpfalz,Kusel,Kaiserslautern,Rheinland-Pfalz,Pirmasens,Kaiserslautern
07337,110,096,0703,07,110,1,1,Rheinpfalz,Südliche Weinstraße,Landau,Rheinland-Pfalz,Heilbronn,Landau
07338,114,090,0703,07,114,1,1,Rheinpfalz,Rhein-Pfalz-Kreis,Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
07339,111,091,0702,07,111,1,1,Rheinhessen-Nahe,Mainz-Bingen,Mainz,Rheinland-Pfalz,Zweibrücken,Mainz
07340,113,092,0705,07,113,1,1,Westpfalz,Südwestpfalz,Pirmasens,Rheinland-Pfalz,Alzey-Worms,Pirmasens
08111,120,097,0810,08,120,1,1,Stuttgart,Stuttgart,Stuttgart,Baden-Württemberg,Hohenlohekreis,Stuttgart
08115,120,097,0810,08,120,1,1,Stuttgart,Böblingen,Stuttgart,Baden-Württemberg,Hohenlohekreis,Stuttgart
08116,120,097,0810,08,120,1,1,Stuttgart,Esslingen,Stuttgart,Baden-Württemberg,Hohenlohekreis,Stuttgart
08117,121,097,0810,08,121,1,1,Stuttgart,Göppingen,Göppingen,Baden-Württemberg,Hohenlohekreis,Göppingen
08118,120,097,0810,08,120,1,1,Stuttgart,Ludwigsburg,Stuttgart,Baden-Württemberg,Hohenlohekreis,Stuttgart
08119,120,097,0810,08,120,1,1,Stuttgart,Rems-Murr-Kreis,Stuttgart,Baden-Württemberg,Hohenlohekreis,Stuttgart
